Business Section,Metric Name,How It Is Calculated
Sales,Gross Sales,Sum of Sales column
Sales,Net Sales,Sum of Net Sales column
Sales,Total Orders,Distinct count of Order ID
Sales,Average Order Value,Net Sales divided by distinct Order ID
Sales,Average Basket Size,Total Quantity divided by distinct Order ID
Sales,Total Quantity Sold,Sum of Quantity
Sales,High Value Orders,Orders where Net Sales exceeds threshold
Sales,Discount Impact,Discount Amount divided by Gross Sales
Sales,Sales Growth YoY,Year-over-year Net Sales growth using Order Date
Customer,Total Customers,Distinct count of Customer ID
Customer,Repeat Customers,Customers with more than one Order ID
Customer,Orders per Customer,Total Orders divided by Total Customers
Customer,Customer Lifetime Value,Total Net Sales per Customer
Customer,Average Revenue per Customer,Net Sales divided by distinct Customer ID
Customer,Segment Contribution,Net Sales by Customer Segment
Product,Total Products Sold,Distinct count of Product ID
Product,Top Selling Products,Products ranked by Net Sales
Product,Product Profit,Profit aggregated by Product ID
Product,Category Sales Contribution,Net Sales by Category
Product,Average Selling Price,Sales divided by Quantity
Product,Low Margin Products,Products with Profit Margin below threshold
Logistics,On Time Delivery Percentage,Orders delivered on or before Expected Delivery Date
Logistics,Late Delivery Percentage,Orders delivered after Expected Delivery Date
Logistics,Average Delivery Days,Delivered Date minus Ship Date
Logistics,Delivery SLA Breach Rate,Late deliveries divided by total deliveries
Logistics,Ship Mode Usage,Orders distribution by Ship Mode
Logistics,City-wise Delivery Delay,Average delivery delay grouped by City
Payments,Payment Mode Share,Orders grouped by Payment Mode
Payments,UPI Adoption Rate,UPI orders divided by total orders
Payments,COD Dependency Rate,COD orders divided by total orders
Finance,Total Profit,Sum of Profit
Finance,Profit Margin Percentage,Profit divided by Net Sales
Finance,Cost of Goods Sold,Unit Cost multiplied by Quantity
Finance,Invoice Value,Net Sales plus tax (if applicable)
Operations,Orders per Day,Total Orders divided by number of days
Operations,Average Items per Order,Total Quantity divided by total orders
Operations,Revenue per City,Net Sales grouped by City
Operations,Peak Order Day,Day with highest number of orders
